name,brand,category,barcode,vegNonVeg,available_quantities,ingredients,allergens,side_effects,harm_level,image_url
Sprite,coca-cola,beverages-and-beverages-preparations,3948764032271,,"[""750 ml""]","[""CARBONATED WATER"", ""SUGAR"", ""ACIDITY REGULATORS (330"", ""331(1)"", ""PRESERVATIVE (211)"", ""SWEETENER (960)"", ""FLAVOURS (NATURAL FLAVORING SUBSTANCES).""]","[""-""]",[],,
Premium Jaggery pieces,rasmalai-gold,sweeteners,8908008252242,,"[""800g""]","[""CONCENTRATED SUGARCANE JUICE""]","[""-""]",[],,
Mixed pickle,mother-s-recipe,plant-based-foods-and-beverages,8906001050742,,"[""1kg""]","[""Moxed Fruits & Vegetable Pieces (Mango"", ""Spices and Condiments"", ""Acidity Regulator (INS 260) and . Iodized Salt"", ""Water"", ""Cottonseed Oil"", ""Chilli Powder. Caror Lime"", ""Green Chilli"", ""Green Tomato and Amba Halder)""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/600/105/0742/front_en.4.400.jpg
Mountain dew 2ltr,pepsico,beverages-and-beverages-preparations,8902080364343,,"[""2.25""]","[""CARBONATED WATER"", ""SUGAR"", ""ACIDITY REGULATORS FLAVOUR INATURAL FLAVOURING SUBSTANCES"", ""PRESERVATIVE (2 CAFFEINE (13 mg/100 g)"", ""STABILIZER (445)"", ""COLOUR (102)""]","[""-""]",[],,
Kundan.kumar,dabar,dairies,8901207002496,,"[""120g""]","[""bur HASKAR CARNA peite deaton ele""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/120/700/2496/front_en.4.400.jpg
Cashews,provmini,plant-based-foods-and-beverages,8908011491133,,"[""18 g""]","[""Cashew""]","[""nuts""]",[],,
Cashew Broken,goodlife,plant-based-foods-and-beverages,8902901100723,,"[""200""]","[""Cashew""]","[""nuts""]",[],,
W320 cashew,good-life,plant-based-foods-and-beverages,8902901223965,,"[""100g""]","[""Cashew""]","[""nuts""]",[],,https://images.openfoodfacts.org/images/products/890/290/122/3965/front_en.3.400.jpg
Good Life W320 Cashew 200g,goodlife,plant-based-foods-and-beverages,8902901223972,,"[""200g""]","[""Cashew""]","[""nuts""]",[],,
Pillsbury Choco Molten Lava Cake,pillsbury,deserts,8904150503683,,"[""90g""]","[""sugar"", ""refined wheat flour (maida) bakery shortening [edible vegetable oil(palm sesome)]"", ""cocoa powder(5%) milk solids"", ""iodized salt"", ""nature identical flavouring substance - vanilla nature  identical flavouring substance - chocalted and stabilizer (INS 415)""]","[""gluten""]",[],,
The nuthouse raisins,the-nut-house,plant-based-foods-and-beverages,8906158700842,,"[""500g""]","[""Raisins""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/615/870/0842/front_en.3.400.jpg
Black Raisin,wonderland-foods,plant-based-foods-and-beverages,8906095121519,,"[""250""]","[""Dried Grapes""]","[""-""]",[],,
Thandaai Masala Powder,ashok,plant-based-foods-and-beverages,8906017774014,,"[""50 g""]","[""SUGAR"", ""NUTS AND SEEDS 11% (ALMOND"", ""SUNFLOWER SEED"", ""FOX NUT"", ""POPPY SEED"", ""PISTACHIO). SPICES 10.2% (ANISEED"", ""BLACK PEPPER"", ""SMALL CARDAMOM"", ""WHITE PEPPER"", ""TURMERIC) SKIMMED MILK POWDER"", ""CORN FLOUR"", ""MUNAKKA"", ""ANJEER"", ""MALTODEXTRINE"", ""SAFFRON (KESAR) & ROSE EXTRACT"", ""THICKENING AGENT (INS 466"", ""INS 412) ANTIOXIDENT (INS 320)"", ""CONTAINS PERMITTED NATURAL COLOUR (INS100) AND SYNTHETIC FOOD COLOUR(S) (INS 102"", ""INS 110) AND ADDED FLAVOUR(S) CONTAINS CLASS-11 PRESERVATIVE (INS 282)""]","[""milk"", ""nuts""]",[],,
Britannia Nutri Choice Oats,britannia,snacks,8901063142114,,"[""75 g""]","[""WHEAT FLOUR (ATTA) (41.7%)"", ""SUGAR"", ""REFINED PALM OIL"", ""ROLLED DATS (14.3%)"", ""ALMONDS (5%)"", ""LIQUID GLUCOSE"", ""WHEAT BRAN (2.4%)"", ""MALTODEXTRIN"", ""RAISING AGENTS [500(ii)"", ""503(ii) & 450(i)]"", ""MILK SOLIDS (1.6%)"", ""INVERT SUGAR SYRUP"", ""DATS FIBRE (0.8%)"", ""EMULSIFIERS [322(i)"", ""471 & 472e]"", ""FLAVOURS [ARTIFICIAL (MILK & BUTTER)"", ""NATURAL & NATURE IDENTICAL FLAVOURING SUBSTANCES]"", ""IODISED SALT AND COLOUR (150d). (Numbers in brackets as per International Numbering System) CONTAINS WHEAT"", ""OATS"", ""NUTS"", ""MILK AND SOYA.""]","[""gluten"", ""milk"", ""nuts"", ""soybeans""]",[],,https://images.openfoodfacts.org/images/products/890/106/314/2114/front_en.3.400.jpg
Keto Dark Chocolate,lo,snacks,8906112993228,,"[""40 g""]","[""Maltitol"", ""Vegetable Fat"", ""Cocoa Powder"", ""Soy Lecithin"", ""Vanillin""]","[""soybeans""]",[],,
Double Beans White,hallmark,beans,8906044920477,,"[""200 g""]","[""Beans""]","[""-""]",[],,
Jain Schezwan sauce,aatash,condiments,8906000913062,,"[""1kg""]","[""Tomatoes(15%)"", ""Sugar(10%)"", ""chillies(8%)"", ""oil"", ""water"", ""soy sauce"", ""herbs & spices. flavour enhancers(INS-627"", ""INS-631)"", ""Emulsifying agent(INS - 415)"", ""Acidfying agent (INS-260)"", ""preservatives(INS-211)""]","[""soybeans""]",[],,https://images.openfoodfacts.org/images/products/890/600/091/3062/front_en.3.400.jpg
Frankie Masala,kapol,masala,8904083600527,,"[""75g""]","[""illy"", ""Asafoetida"", ""Turmeric.""]","[""-""]",[],,
Local all natural soda,local,beverages-and-beverages-preparations,8908018308007,,"[""250ml""]","[""POMELO LOCAL ALL NATURAL SODA 250ml carbonated mineral water - pomelo - cane sugar-roselle - salt""]","[""-""]",[],,
Turmeric Powder,zoff,plant-based-foods-and-beverages,8906097400032,,"[""500g""]","[""Turmeric""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/609/740/0032/front_en.3.400.jpg
Slurp Farm Millet Noodles,slurp-farm,plant-based-foods-and-beverages,8906131682417,,"[""57g""]","[""Noodles (88.5%): Supergrain blend (whole wheat (atta)"", ""jowar) (83%)"", ""guar gum"", ""iodised salt"", ""rosemary (antioxidant) [INS 392]. Seasoning (11.5%): Mixed spices (onion"", ""coriander"", ""chilli"", ""turmeric"", ""garlic"", ""cumin"", ""aniseed"", ""fenugreek"", ""black pepper"", ""ginger"", ""clove"", ""cardamom"", ""nutmeg)"", ""tapioca starch"", ""desi khand"", ""iodised salt"", ""edible vegetable oil (soyabean)"", ""natural colors and nature identical flavors"", ""guar gum"", ""citric acid (acidity regulator) [INS 330)"", ""baking soda (raising agent) [INS 500(ii)].""]","[""gluten""]",[],,
Cadbury Hot Chocolate,mondelez-international,beverages-and-beverages-preparations,7622201762537,,"[""200g""]","[""Sugar"", ""Cocoa Powder (30%)"", ""Artificial (Vanilla) Flavouring""]","[""-""]",[],,
nutties,cadbury,snacks,7622202031618,,"[""30g""]","[""Center (55%*) (Sugar"", ""Cashew Nuts (11%)"", ""Milk Solids"", ""lodised Salt"", ""Flavour (Natural and Nature Identical Flavouring Substances)"", ""Emulsifier (442)"", ""Almonds)"", ""Milk Chocolate (44%) (Sugar"", ""Milk A Solids (22%)"", ""Cocoa Butter"", ""Cocoa Solids"", ""Emulsifiers (442"", ""476)"", ""Flavours (Natural"", ""Nature Identical and Artificial (Vanilla) Flavouring Substances))"", ""Stabilizers (1400"", ""414)"", ""Glazing Agent (904).""]","[""milk"", ""nuts""]",[],,https://images.openfoodfacts.org/images/products/762/220/203/1618/front_en.3.400.jpg
